Date;;Berri1;Brébeuf;Maisonneuve_1;Maisonneuve_2
03/03/2009;00:00;157;;86;197
04/03/2009;00:00;164;;102;156
05/03/2009;00:00;300;;147;378
06/03/2009;00:00;176;;89;198
07/03/2009;00:00;195;;104;199
08/03/2009;00:00;310;;151;239
09/03/2009;00:00;7;;0;0
10/03/2009;00:00;366;;203;354
11/03/2009;00:00;234;;143;290
12/03/2009;00:00;132;;64;166
13/03/2009;00:00;203;;104;180
14/03/2009;00:00;298;;154;275
15/03/2009;00:00;541;;269;425
16/03/2009;00:00;525;;321;554
17/03/2009;00:00;871;;484;967
18/03/2009;00:00;592;;369;515
19/03/2009;00:00;455;;232;455
20/03/2009;00:00;446;;230;594
21/03/2009;00:00;441;;233;444
22/03/2009;00:00;266;;130;306
23/03/2009;00:00;189;;115;228
24/03/2009;00:00;343;;188;395
25/03/2009;00:00;292;;181;308
26/03/2009;00:00;355;;177;434
27/03/2009;00:00;245;;126;344
28/03/2009;00:00;136;;67;137
29/03/2009;00:00;0;;0;0
30/03/2009;00:00;0;;0;0
31/03/2009;00:00;0;;0;0
01/04/2009;00:00;0;;0;0
02/04/2009;00:00;445;;279;447
03/04/2009;00:00;0;;0;0
04/04/2009;00:00;0;;0;0
05/04/2009;00:00;0;;0;0
06/04/2009;00:00;0;;0;0
07/04/2009;00:00;0;;0;0
08/04/2009;00:00;0;;0;0
09/04/2009;00:00;0;;0;0
10/04/2009;00:00;0;;0;0
11/04/2009;00:00;0;;0;0
12/04/2009;00:00;0;;0;0
13/04/2009;00:00;0;;0;0
14/04/2009;00:00;0;;0;0
15/04/2009;00:00;0;;0;0
16/04/2009;00:00;0;;0;0
17/04/2009;00:00;1286;;820;1436
18/04/2009;00:00;1178;;667;826
19/04/2009;00:00;2131;;1155;1426
20/04/2009;00:00;2709;;1697;2646
21/04/2009;00:00;752;;523;572
22/04/2009;00:00;1886;;1225;1936
23/04/2009;00:00;2069;;1314;2453
24/04/2009;00:00;3132;;1998;2744
25/04/2009;00:00;3668;;2074;3319
26/04/2009;00:00;1368;;744;954
27/04/2009;00:00;4051;;2534;3924
28/04/2009;00:00;2286;;1599;2478
29/04/2009;00:00;3519;;2281;2963
30/04/2009;00:00;3520;;2233;3918
01/05/2009;00:00;1925;;1256;1501
02/05/2009;00:00;2125;;1225;1422
03/05/2009;00:00;2662;;1326;1421
04/05/2009;00:00;4403;;2808;3908
05/05/2009;00:00;4338;;2730;4367
06/05/2009;00:00;2757;;1707;2335
07/05/2009;00:00;970;;623;966
08/05/2009;00:00;2767;;1805;2460
09/05/2009;00:00;1493;;864;1504
10/05/2009;00:00;728;;362;523
11/05/2009;00:00;3982;;2537;3520
12/05/2009;00:00;4742;;2983;3872
13/05/2009;00:00;5278;;3265;4486
14/05/2009;00:00;2344;;1513;2442
15/05/2009;00:00;4094;;2675;3561
16/05/2009;00:00;784;;453;597
17/05/2009;00:00;1048;;525;815
18/05/2009;00:00;2442;;1558;1677
19/05/2009;00:00;3686;;2321;2719
20/05/2009;00:00;3042;;1882;1977
21/05/2009;00:00;5728;;3693;5397
22/05/2009;00:00;3815;;2488;3889
23/05/2009;00:00;3540;;2040;3366
24/05/2009;00:00;4775;;2378;3368
25/05/2009;00:00;4434;;2825;3946
26/05/2009;00:00;4363;;2747;3935
27/05/2009;00:00;2075;;1284;1739
28/05/2009;00:00;2338;;1506;1908
29/05/2009;00:00;1387;;906;1247
30/05/2009;00:00;2063;;1191;1228
31/05/2009;00:00;2031;;1008;1515
01/06/2009;00:00;3274;;2093;2726
02/06/2009;00:00;4325;;2868;3753
03/06/2009;00:00;5430;;3523;3259
04/06/2009;00:00;5278;;3499;4795
05/06/2009;00:00;6028;;4120;4223
06/06/2009;00:00;3876;;2375;3192
07/06/2009;00:00;2742;;1500;1381
08/06/2009;00:00;4973;;2107;3742
09/06/2009;00:00;1125;;678;1312
10/06/2009;00:00;3460;;2354;3978
11/06/2009;00:00;4449;;2648;4802
12/06/2009;00:00;3576;;2100;3717
13/06/2009;00:00;4027;;1830;3357
14/06/2009;00:00;4313;;1706;3120
15/06/2009;00:00;3182;;1922;3538
16/06/2009;00:00;5668;;3499;5609
17/06/2009;00:00;6320;;3388;6047
18/06/2009;00:00;2397;;1324;2531
19/06/2009;00:00;2857;;1798;3309
20/06/2009;00:00;2590;;1505;2774
21/06/2009;00:00;3234;;1332;2531
22/06/2009;00:00;5138;;2742;5032
23/06/2009;00:00;5799;;3114;5386
24/06/2009;00:00;4911;;1615;3114
25/06/2009;00:00;4333;;2449;4541
26/06/2009;00:00;3680;;2156;3984
27/06/2009;00:00;1536;;847;1655
28/06/2009;00:00;3064;;1437;2689
29/06/2009;00:00;1004;;596;1360
30/06/2009;00:00;4709;;2945;4472
01/07/2009;00:00;4471;;2239;3051
02/07/2009;00:00;4432;;2611;4525
03/07/2009;00:00;2997;;1876;3069
04/07/2009;00:00;2544;;1653;2325
05/07/2009;00:00;5121;;3064;3310
06/07/2009;00:00;3862;;2641;4249
07/07/2009;00:00;3036;2156;1980;3518
08/07/2009;00:00;3744;4548;2318;3886
09/07/2009;00:00;6626;7575;4227;5751
10/07/2009;00:00;6274;7268;4242;5435
11/07/2009;00:00;1876;2320;1175;1944
12/07/2009;00:00;4393;5081;2520;3148
13/07/2009;00:00;3471;4236;2369;3909
14/07/2009;00:00;3537;3755;2299;4019
15/07/2009;00:00;6100;6939;3767;5536
16/07/2009;00:00;3489;4278;2227;3774
17/07/2009;00:00;4859;5999;3280;4323
18/07/2009;00:00;2991;3586;1885;2804
19/07/2009;00:00;3588;4132;2065;2711
20/07/2009;00:00;5607;7064;3825;5092
21/07/2009;00:00;5754;6996;3745;5357
22/07/2009;00:00;3440;4331;2123;3954
23/07/2009;00:00;5124;6134;3269;4836
24/07/2009;00:00;4054;4639;2751;3828
25/07/2009;00:00;4372;4635;2736;3059
26/07/2009;00:00;1801;2144;1032;1703
27/07/2009;00:00;4088;5041;2795;4307
28/07/2009;00:00;5891;7219;3292;5437
29/07/2009;00:00;3754;5041;1637;4211
30/07/2009;00:00;5267;7208;2527;5183
31/07/2009;00:00;3146;5237;2265;4023
01/08/2009;00:00;63;5869;1053;3351
02/08/2009;00:00;77;1753;291;1293
03/08/2009;00:00;5904;7194;3102;4853
04/08/2009;00:00;4417;5384;2382;4350
05/08/2009;00:00;5611;7121;2646;5201
06/08/2009;00:00;4197;5259;2302;4298
07/08/2009;00:00;4265;5103;2300;4303
08/08/2009;00:00;4589;5514;2083;3200
09/08/2009;00:00;2775;3524;1509;2393
10/08/2009;00:00;2999;4187;1545;3185
11/08/2009;00:00;3504;4359;1735;3703
12/08/2009;00:00;5538;7127;2368;5107
13/08/2009;00:00;5386;6971;2364;5056
14/08/2009;00:00;4859;6178;2125;4663
15/08/2009;00:00;3916;5078;1573;3027
16/08/2009;00:00;3307;4416;1313;2843
17/08/2009;00:00;4403;5683;1773;4422
18/08/2009;00:00;4382;5647;2121;4629
19/08/2009;00:00;5327;6901;2362;5231
20/08/2009;00:00;3796;4902;1790;3887
21/08/2009;00:00;2832;3752;1434;3166
22/08/2009;00:00;3492;4822;1448;3110
23/08/2009;00:00;2888;4015;1111;2647
24/08/2009;00:00;4120;5534;1966;4573
25/08/2009;00:00;5450;7044;2671;5698
26/08/2009;00:00;4722;6242;2416;5112
27/08/2009;00:00;4707;6239;2338;5171
28/08/2009;00:00;4439;5661;2283;4683
29/08/2009;00:00;1004;1445;590;1231
30/08/2009;00:00;2277;3064;1037;2157
31/08/2009;00:00;4572;5941;2439;4967
01/09/2009;00:00;5298;6939;2796;5765
02/09/2009;00:00;5451;7052;2701;5517
03/09/2009;00:00;5372;6864;2717;5762
04/09/2009;00:00;4566;5837;2393;5327
05/09/2009;00:00;3533;4185;1466;3059
06/09/2009;00:00;3888;4036;1383;2794
07/09/2009;00:00;3683;4375;1642;2628
08/09/2009;00:00;5452;6763;2865;6379
09/09/2009;00:00;5575;6686;2727;6535
10/09/2009;00:00;5496;6520;2921;6587
11/09/2009;00:00;4864;6044;2640;5895
12/09/2009;00:00;3985;5205;1759;3873
13/09/2009;00:00;2695;3959;1194;2777
14/09/2009;00:00;4196;4263;2097;5053
15/09/2009;00:00;5169;4379;2513;5958
16/09/2009;00:00;4891;4256;2589;6146
17/09/2009;00:00;4915;3985;2647;6149
18/09/2009;00:00;2435;2169;1553;3772
19/09/2009;00:00;2674;2550;1361;2677
20/09/2009;00:00;2855;2605;1219;2782
21/09/2009;00:00;4787;3599;243;5856
22/09/2009;00:00;2620;1923;107;3602
23/09/2009;00:00;2878;2044;130;4030
24/09/2009;00:00;4820;3183;174;5942
25/09/2009;00:00;3774;2709;61;5018
26/09/2009;00:00;2603;2547;0;2873
27/09/2009;00:00;725;656;0;1035
28/09/2009;00:00;1941;1415;90;2812
29/09/2009;00:00;2272;1342;11;2878
30/09/2009;00:00;3003;1799;22;3884
01/10/2009;00:00;2643;1588;22;3528
02/10/2009;00:00;2865;1906;36;3735
03/10/2009;00:00;993;705;7;1362
04/10/2009;00:00;1336;1116;0;1620
05/10/2009;00:00;2935;1773;308;3801
06/10/2009;00:00;3852;2211;7;4610
07/10/2009;00:00;2115;984;3;2825
08/10/2009;00:00;3336;1967;9;4146
09/10/2009;00:00;1302;663;482;1686
10/10/2009;00:00;1407;1003;725;1443
11/10/2009;00:00;1090;825;546;1271
12/10/2009;00:00;1171;924;573;1127
13/10/2009;00:00;1671;870;911;2211
14/10/2009;00:00;2456;1373;1358;3232
15/10/2009;00:00;2383;1311;1304;3282
16/10/2009;00:00;2131;1238;1254;2885
17/10/2009;00:00;1130;919;727;1676
18/10/2009;00:00;1241;1006;625;1497
19/10/2009;00:00;2570;1483;1377;3449
20/10/2009;00:00;2605;1374;1403;3517
21/10/2009;00:00;2904;1442;1478;3582
22/10/2009;00:00;1322;633;665;1866
23/10/2009;00:00;1792;952;1040;2575
24/10/2009;00:00;542;286;277;737
25/10/2009;00:00;1124;833;611;1354
26/10/2009;00:00;2119;1191;1171;3186
27/10/2009;00:00;2072;1114;1147;3167
28/10/2009;00:00;1996;1075;1101;2944
29/10/2009;00:00;2130;1230;1185;3142
30/10/2009;00:00;1835;958;979;2470
31/10/2009;00:00;473;309;278;661
01/11/2009;00:00;1141;859;540;1265
02/11/2009;00:00;2293;1208;1158;3006
03/11/2009;00:00;1655;798;910;2246
04/11/2009;00:00;1974;1046;1113;2693
05/11/2009;00:00;1767;906;990;2469
06/11/2009;00:00;1735;864;1001;2317
07/11/2009;00:00;872;552;475;1118
08/11/2009;00:00;1541;1063;689;1545
09/11/2009;00:00;2540;1341;1267;3191
10/11/2009;00:00;2526;1300;1270;3430
11/11/2009;00:00;2366;1175;1145;2952
12/11/2009;00:00;2224;1108;1137;2929
13/11/2009;00:00;2007;1005;1115;2569
14/11/2009;00:00;493;321;269;635
15/11/2009;00:00;852;404;425;964
16/11/2009;00:00;1881;0;1003;2567
17/11/2009;00:00;2052;0;1006;2728
18/11/2009;00:00;1921;0;1046;2642
19/11/2009;00:00;1935;0;1045;2619
20/11/2009;00:00;1065;0;596;1493
21/11/2009;00:00;1173;0;614;1315
22/11/2009;00:00;743;0;396;1021
23/11/2009;00:00;1579;0;864;2352
24/11/2009;00:00;1886;0;1027;2574
25/11/2009;00:00;1574;0;833;2183
26/11/2009;00:00;1726;0;916;2397
27/11/2009;00:00;1027;0;525;1428
28/11/2009;00:00;810;0;419;938
29/11/2009;00:00;671;0;315;754
30/11/2009;00:00;747;0;412;1175
01/12/2009;00:00;1092;0;599;1473
02/12/2009;00:00;1377;0;711;1867
03/12/2009;00:00;606;0;367;921
04/12/2009;00:00;1108;0;595;1472
05/12/2009;00:00;594;0;301;746
06/12/2009;00:00;501;0;276;679
07/12/2009;00:00;669;0;358;1039
08/12/2009;00:00;570;0;318;807
09/12/2009;00:00;185;0;64;274
10/12/2009;00:00;219;0;110;363
11/12/2009;00:00;194;0;77;378
12/12/2009;00:00;106;0;84;210
13/12/2009;00:00;130;0;49;113
14/12/2009;00:00;271;0;123;433
15/12/2009;00:00;308;0;143;395
16/12/2009;00:00;296;0;155;350
17/12/2009;00:00;239;0;118;304
18/12/2009;00:00;214;0;119;373
19/12/2009;00:00;133;0;73;162
20/12/2009;00:00;135;0;62;125
21/12/2009;00:00;239;0;125;383
22/12/2009;00:00;207;0;107;353
23/12/2009;00:00;158;0;84;204
24/12/2009;00:00;74;0;59;129
25/12/2009;00:00;34;0;21;36
26/12/2009;00:00;40;0;21;59
27/12/2009;00:00;66;0;29;52
28/12/2009;00:00;61;0;41;99
29/12/2009;00:00;89;0;52;115
30/12/2009;00:00;76;0;43;115
31/12/2009;00:00;53;0;46;112
