Date;;Berri1;Brébeuf;Maisonneuve_1;Maisonneuve_2
01/01/2009;00:00;29;;20;35
02/01/2009;00:00;19;;3;22
03/01/2009;00:00;24;;12;22
04/01/2009;00:00;24;;8;15
05/01/2009;00:00;120;;111;141
06/01/2009;00:00;261;;146;236
07/01/2009;00:00;60;;33;80
08/01/2009;00:00;24;;14;14
09/01/2009;00:00;35;;20;32
10/01/2009;00:00;81;;45;79
11/01/2009;00:00;318;;160;306
12/01/2009;00:00;105;;99;170
13/01/2009;00:00;168;;94;172
14/01/2009;00:00;145;;87;175
15/01/2009;00:00;131;;90;172
16/01/2009;00:00;93;;49;97
17/01/2009;00:00;25;;13;20
18/01/2009;00:00;52;;22;55
19/01/2009;00:00;136;;127;202
20/01/2009;00:00;147;;85;176
21/01/2009;00:00;109;;63;137
22/01/2009;00:00;172;;125;205
23/01/2009;00:00;148;;81;153
24/01/2009;00:00;15;;1;10
25/01/2009;00:00;35;;14;28
26/01/2009;00:00;93;;85;136
27/01/2009;00:00;209;;119;221
28/01/2009;00:00;92;;52;113
29/01/2009;00:00;110;;80;117
30/01/2009;00:00;105;;60;106
31/01/2009;00:00;25;;13;20
01/02/2009;00:00;14;;2;2
02/02/2009;00:00;158;;98;174
03/02/2009;00:00;179;;82;149
04/02/2009;00:00;122;;63;149
05/02/2009;00:00;95;;54;72
06/02/2009;00:00;185;;111;198
07/02/2009;00:00;95;;56;73
08/02/2009;00:00;82;;44;79
09/02/2009;00:00;190;;112;190
10/02/2009;00:00;228;;101;260
11/02/2009;00:00;306;;166;304
12/02/2009;00:00;188;;95;231
13/02/2009;00:00;209;;127;222
14/02/2009;00:00;98;;56;85
15/02/2009;00:00;139;;77;101
16/02/2009;00:00;258;;155;291
17/02/2009;00:00;304;;133;348
18/02/2009;00:00;326;;176;371
19/02/2009;00:00;134;;69;173
20/02/2009;00:00;125;;73;163
21/02/2009;00:00;96;;56;73
22/02/2009;00:00;65;;37;61
23/02/2009;00:00;123;;73;117
24/02/2009;00:00;129;;55;129
25/02/2009;00:00;154;;81;150
26/02/2009;00:00;239;;126;313
27/02/2009;00:00;198;;121;157
28/02/2009;00:00;32;;17;17
01/03/2009;00:00;67;;30;80
02/03/2009;00:00;105;;63;93
