"Date","Berri","Brébeuf (données non disponibles)","Côte-Sainte-Catherine","Maisonneuve 1","Maisonneuve 2","du Parc","Pierre-Dupuy","Rachel","Saint-Urbain (données non disponibles)"
"mercredi 22 juin 2011",6581,,2501,4441,7801,3898,2352,5175,
"jeudi 23 juin 2011",2865,,1146,2068,3910,2048,507,2375,
"vendredi 24 juin 2011",886,,413,681,1346,559,184,1452,
"samedi 25 juin 2011",1755,,554,1414,2281,932,412,1646,
"dimanche 26 juin 2011",3662,,1154,2386,3668,1764,1827,3273,
"lundi 27 juin 2011",7060,,2550,4750,7507,3972,3430,5742,
"mardi 28 juin 2011",6462,,2245,4617,7116,3739,1869,4512,
"mercredi 29 juin 2011",4682,,1727,3066,5570,2939,863,3949,
"jeudi 30 juin 2011",4310,,1538,3054,5184,2815,987,3779,
"vendredi 01 juil 2011",5610,,1471,3028,4512,2121,3773,4840,
"samedi 02 juil 2011",5767,,1345,3433,4974,2280,4044,5018,
"dimanche 03 juil 2011",3816,,1221,2382,4201,1966,2338,4312,
"lundi 04 juil 2011",7056,,2431,4941,7804,3932,2627,6038,
"mardi 05 juil 2011",6570,,2592,4357,7970,3935,2677,5949,
"mercredi 06 juil 2011",5054,,1927,3430,5938,3113,1139,4187,
"jeudi 07 juil 2011",6972,,2627,4800,7917,3750,2946,5524,
"vendredi 08 juil 2011",6158,,2105,4166,7166,3345,2532,5037,
"samedi 09 juil 2011",4691,,1484,2755,4614,1912,3948,4212,
"dimanche 10 juil 2011",4107,,1492,2115,4119,1973,3648,4164,
"lundi 11 juil 2011",4862,,1909,3236,6163,3066,1525,3684,
"mardi 12 juil 2011",5960,,2337,3898,7051,3431,2170,4804,
"mercredi 13 juil 2011",6514,,2334,4483,7224,3662,2256,4911,
"jeudi 14 juil 2011",6839,,2458,4655,7881,3720,2724,5445,
"vendredi 15 juil 2011",6294,,2125,4401,7212,3477,2544,5298,
"samedi 16 juil 2011",4771,,1319,3207,5051,2069,3771,4637,
"dimanche 17 juil 2011",3636,,1139,2099,4171,1788,2978,4072,
"lundi 18 juil 2011",4456,,1802,3057,5924,2972,1321,3924,
"mardi 19 juil 2011",6685,,2561,4281,7793,3963,3093,5475,
"mercredi 20 juil 2011",6269,,2248,4139,7502,3679,2579,5182,
"jeudi 21 juil 2011",4467,,1602,3165,6271,2743,1217,3774,
"vendredi 22 juil 2011",5234,,1612,3782,6237,2757,1797,4326,
"samedi 23 juil 2011",4225,,1207,2436,4620,1786,2945,4275,
"dimanche 24 juil 2011",4681,,1324,2358,4555,2220,4006,4686,
"lundi 25 juil 2011",4293,,1753,2981,5877,3002,1675,3678,
"mardi 26 juil 2011",304,,1819,2719,6076,2981,1175,4207,
"mercredi 27 juil 2011",34,,2303,3872,7511,3623,3041,5455,
"jeudi 28 juil 2011",4,,2156,3517,7576,3562,2619,5364,
"vendredi 29 juil 2011",31,,1610,2818,6020,2676,1553,4365,
"samedi 30 juil 2011",46,,1349,2383,4733,1969,3738,4373,
"dimanche 31 juil 2011",112,,1290,1754,4631,2056,3682,4593,
"lundi 01 août 2011",54,,1579,2201,4954,2499,1276,3681,
"mardi 02 août 2011",4777,,1977,3234,6606,3195,2059,4768,
"mercredi 03 août 2011",5445,,2368,3843,7374,3754,2479,5582,
"jeudi 04 août 2011",5364,,2225,3735,7262,3396,2060,5379,
"vendredi 05 août 2011",5588,,1921,3792,6903,3018,2706,5692,
"samedi 06 août 2011",3978,,1309,2435,4629,1765,2926,4433,
"dimanche 07 août 2011",2488,,988,1480,3125,1370,1580,3134,
"lundi 08 août 2011",4730,,2113,3271,6369,3187,1972,5427,
"mardi 09 août 2011",4802,,2009,3547,6224,3160,2487,5009,
"mercredi 10 août 2011",3380,,1396,2515,4781,2332,888,3391,
"jeudi 11 août 2011",4903,,1926,3420,6264,3085,1500,4650,
"vendredi 12 août 2011",5133,,1705,3504,6249,2920,2170,5163,
"samedi 13 août 2011",4301,,1369,2738,4367,1894,3423,4439,
"dimanche 14 août 2011",3428,,1089,2265,3761,1528,1832,3646,
"lundi 15 août 2011",4437,,1844,3003,5558,2896,1150,4371,
"mardi 16 août 2011",5410,,2309,3861,6680,3304,1504,5237,
"mercredi 17 août 2011",6093,,2608,4164,7528,3665,1980,5894,
"jeudi 18 août 2011",4787,,1877,3325,6079,2989,1017,4800,
"vendredi 19 août 2011",5624,,2090,3523,6400,2931,1166,5648,
"samedi 20 août 2011",4044,,1281,2334,4271,1770,1492,4415,
"dimanche 21 août 2011",1201,,450,776,1473,646,151,1471,
"lundi 22 août 2011",4378,,1931,3145,5349,2852,743,4088,
"mardi 23 août 2011",6042,,2436,4039,6851,3459,2147,5363,
"mercredi 24 août 2011",5525,,2319,3926,6755,3538,1920,5405,
"jeudi 25 août 2011",3521,,1425,2491,4492,2421,617,3554,
"vendredi 26 août 2011",5410,,2237,3881,6588,3327,2108,5410,
"samedi 27 août 2011",4490,,1503,2597,4620,1957,3190,5012,
"dimanche 28 août 2011",558,,260,322,898,389,108,922,
"lundi 29 août 2011",4993,,2501,3374,6198,3474,1632,4658,
"mardi 30 août 2011",5225,,2583,3646,6612,3568,1530,5031,
"mercredi 31 août 2011",5911,,2903,4061,7548,4057,2243,5936,
"jeudi 01 sept 2011",5352,,2923,3929,7267,4245,1797,5658,
"vendredi 02 sept 2011",5293,,2635,3823,6885,3809,2104,5705,
"samedi 03 sept 2011",3311,,1319,2184,4130,1702,2171,4067,
"dimanche 04 sept 2011",1946,,749,1341,2697,1234,888,2324,
"lundi 05 sept 2011",906,,485,612,1373,639,270,1535,
"mardi 06 sept 2011",5599,,2643,3719,7062,3868,1299,4834,
"mercredi 07 sept 2011",4747,,2390,3324,6525,3546,897,4192,
"jeudi 08 sept 2011",6287,,3140,4556,8183,4252,1821,5453,
"vendredi 09 sept 2011",6578,,2638,4568,7657,3951,2142,5862,
"samedi 10 sept 2011",4612,,2050,2833,4637,1979,2740,4688,
"dimanche 11 sept 2011",3960,,1970,2172,4334,3182,2960,4958,
"lundi 12 sept 2011",5298,,2401,3533,6837,3654,1437,4385,
"mardi 13 sept 2011",4732,,2163,3222,5830,3375,854,4137,
"mercredi 14 sept 2011",6057,,2700,4078,7311,4174,1600,4953,
"jeudi 15 sept 2011",2430,,1214,1752,3664,2060,309,2475,
"vendredi 16 sept 2011",4760,,2117,3311,6141,3283,1070,4397,
"samedi 17 sept 2011",3563,,1274,2030,3739,1774,2011,3792,
"dimanche 18 sept 2011",4179,,1302,1815,3555,1943,2922,4035,
"lundi 19 sept 2011",5435,,2110,3538,6953,3933,1513,5116,
"mardi 20 sept 2011",3735,,825,2432,5001,2888,491,3441,
"mercredi 21 sept 2011",6215,,1927,3890,7644,4494,1785,5502,
"jeudi 22 sept 2011",5145,,1057,3991,6263,3626,672,4213,
"vendredi 23 sept 2011",5497,,1070,3635,7088,3934,1769,5386,
"samedi 24 sept 2011",3186,,479,2052,4136,2034,1201,3675,
"dimanche 25 sept 2011",3458,,522,1862,3767,1894,2005,4330,
"lundi 26 sept 2011",5877,,1188,3866,7241,4457,1723,4975,
"mardi 27 sept 2011",6444,,1236,4161,7777,4577,1872,5035,
"mercredi 28 sept 2011",5359,,1067,3523,6965,3812,1102,4327,
"jeudi 29 sept 2011",2742,,518,1857,3667,2308,305,2222,
"vendredi 30 sept 2011",4213,,774,3042,5679,3282,782,3876,
"samedi 01 oct 2011",1056,,197,637,1598,790,160,1600,
"dimanche 02 oct 2011",511,,140,350,754,403,55,780,
"lundi 03 oct 2011",1003,,467,1584,3039,2137,276,905,
"mardi 04 oct 2011",0,,669,2417,4689,2849,490,0,
"mercredi 05 oct 2011",0,,953,3287,6030,3612,989,0,
"jeudi 06 oct 2011",0,,878,3171,5682,3401,796,0,
"vendredi 07 oct 2011",0,,730,3000,5257,2954,1033,0,
"samedi 08 oct 2011",0,,407,1809,3122,1480,1735,0,
"dimanche 09 oct 2011",0,,534,1633,2974,1431,2192,0,
"lundi 10 oct 2011",0,,523,1577,2820,1539,2672,0,
"mardi 11 oct 2011",0,,934,3376,6021,3707,1235,0,
"mercredi 12 oct 2011",0,,917,2986,6004,3634,884,0,
"jeudi 13 oct 2011",0,,604,2582,5057,2919,488,0,
"vendredi 14 oct 2011",0,,259,1008,2090,1266,147,0,
"samedi 15 oct 2011",0,,180,1025,1795,937,122,0,
"dimanche 16 oct 2011",0,,250,968,1790,1006,297,0,
"lundi 17 oct 2011",0,,215,2095,4077,2626,369,0,
"mardi 18 oct 2011",0,,67,2553,4836,2852,489,0,
"mercredi 19 oct 2011",0,,0,2700,5075,2964,600,0,
"jeudi 20 oct 2011",0,,0,1536,3050,2006,188,0,
"vendredi 21 oct 2011",0,,0,1761,3366,2106,221,0,
"samedi 22 oct 2011",0,,0,1303,2279,1130,352,0,
"dimanche 23 oct 2011",0,,0,1068,1968,1225,541,0,
"lundi 24 oct 2011",0,,0,2150,4337,2805,594,0,
"mardi 25 oct 2011",0,,0,2337,4503,2695,502,0,
"mercredi 26 oct 2011",0,,0,2251,4716,2800,564,0,
"jeudi 27 oct 2011",0,,0,2013,4342,2581,379,0,
"vendredi 28 oct 2011",0,,0,1828,3716,2202,426,0,
"samedi 29 oct 2011",0,,0,922,1825,973,371,0,
"dimanche 30 oct 2011",0,,0,805,1741,938,482,0,
"lundi 31 oct 2011",0,,0,2012,3989,2590,447,0,
"mardi 01 nov 2011",0,,0,2289,4410,2750,484,0,
"mercredi 02 nov 2011",0,,0,2471,4658,2943,571,0,
"jeudi 03 nov 2011",0,,0,1684,3513,531,184,0,
"vendredi 04 nov 2011",,,,,,,,,
"samedi 05 nov 2011",,,,,,,,,
"dimanche 06 nov 2011",,,,,,,,,
"lundi 07 nov 2011",,,,,,,,,
"mardi 08 nov 2011",,,,,,,,,
"mercredi 09 nov 2011",,,,,,,,,
"jeudi 10 nov 2011",,,,,,,,,
"vendredi 11 nov 2011",,,,,,,,,
"samedi 12 nov 2011",,,,,,,,,
"dimanche 13 nov 2011",,,,,,,,,
"lundi 14 nov 2011",,,,,,,,,
"mardi 15 nov 2011",,,,,,,,,
"mercredi 16 nov 2011",,,,,,,,,
"jeudi 17 nov 2011",,,,,,,,,
"vendredi 18 nov 2011",,,,,,,,,
"samedi 19 nov 2011",,,,,,,,,
"dimanche 20 nov 2011",,,,,,,,,
"lundi 21 nov 2011",,,,,,,,,
"mardi 22 nov 2011",,,,,,,,,
"mercredi 23 nov 2011",,,,,,,,,
"jeudi 24 nov 2011",,,,,,,,,
"vendredi 25 nov 2011",,,,,,,,,
"samedi 26 nov 2011",,,,,,,,,
"dimanche 27 nov 2011",,,,,,,,,
"lundi 28 nov 2011",,,,,,,,,
"mardi 29 nov 2011",,,,,,,,,
"mercredi 30 nov 2011",,,,,,,,,
"jeudi 01 déc 2011",,,,,,,,,
"vendredi 02 déc 2011",,,,,,,,,
"samedi 03 déc 2011",,,,,,,,,
"dimanche 04 déc 2011",,,,,,,,,
"lundi 05 déc 2011",,,,,,,,,
"mardi 06 déc 2011",,,,,,,,,
"mercredi 07 déc 2011",,,,,,,,,
"jeudi 08 déc 2011",,,,,,,,,
"vendredi 09 déc 2011",,,,,,,,,
"samedi 10 déc 2011",,,,,,,,,
"dimanche 11 déc 2011",,,,,,,,,
"lundi 12 déc 2011",,,,,,,,,
"mardi 13 déc 2011",,,,,,,,,
"mercredi 14 déc 2011",,,,,,,,,
"jeudi 15 déc 2011",,,,,,,,,
"vendredi 16 déc 2011",,,,,,,,,
"samedi 17 déc 2011",,,,,,,,,
"dimanche 18 déc 2011",,,,,,,,,
"lundi 19 déc 2011",,,,,,,,,
"mardi 20 déc 2011",,,,,,,,,
"mercredi 21 déc 2011",,,,,,,,,
"jeudi 22 déc 2011",,,,,,,,,
"vendredi 23 déc 2011",,,,,,,,,
"samedi 24 déc 2011",,,,,,,,,
"dimanche 25 déc 2011",,,,,,,,,
"lundi 26 déc 2011",,,,,,,,,
"mardi 27 déc 2011",,,,,,,,,
"mercredi 28 déc 2011",,,,,,,,,
"jeudi 29 déc 2011",,,,,,,,,
"vendredi 30 déc 2011",,,,,,,,,
"samedi 31 déc 2011",,,,,,,,,
