"Date","Berri","Brébeuf","Côte-Sainte-Catherine","Maisonneuve 1","Maisonneuve 2","du Parc","Pierre-Dupuy","Rachel","Saint-Urbain"
"dimanche 15 févr 2009",139,0,0,0,0,0,0,0,577
"lundi 16 févr 2009",258,0,0,0,0,0,0,0,561
"mardi 17 févr 2009",304,0,0,0,0,0,0,0,614
"mercredi 18 févr 2009",326,0,0,0,0,0,0,0,554
"jeudi 19 févr 2009",134,0,0,0,0,0,0,0,447
"vendredi 20 févr 2009",125,0,0,0,0,0,0,0,305
"samedi 21 févr 2009",96,0,0,0,0,0,0,0,375
"dimanche 22 févr 2009",65,0,0,0,0,0,0,0,592
"lundi 23 févr 2009",123,0,0,0,0,0,0,0,475
"mardi 24 févr 2009",129,0,0,0,0,0,0,0,724
"mercredi 25 févr 2009",154,0,0,0,0,0,0,0,1048
"jeudi 26 févr 2009",239,0,0,0,0,0,0,0,728
"vendredi 27 févr 2009",198,0,0,0,0,0,0,0,1296
"samedi 28 févr 2009",32,0,0,0,0,0,0,0,1298
"dimanche 01 mars 2009",67,0,0,0,0,0,0,0,1087
"lundi 02 mars 2009",105,0,0,0,0,0,0,0,882
"mardi 03 mars 2009",157,0,0,0,0,0,0,0,1471
"mercredi 04 mars 2009",164,0,0,0,0,0,0,0,1228
"jeudi 05 mars 2009",300,0,0,0,0,0,0,0,1427
"vendredi 06 mars 2009",176,0,0,0,0,0,0,0,1276
"samedi 07 mars 2009",195,0,0,0,0,0,0,0,1131
"dimanche 08 mars 2009",310,0,0,0,0,0,0,0,1166
"lundi 09 mars 2009",7,0,0,0,0,0,0,0,813
"mardi 10 mars 2009",366,0,0,0,0,0,0,0,2038
"mercredi 11 mars 2009",234,0,0,0,0,0,0,0,2314
"jeudi 12 mars 2009",132,0,0,0,0,0,0,0,1620
"vendredi 13 mars 2009",203,0,0,0,0,0,0,0,1383
"samedi 14 mars 2009",298,0,0,0,0,0,0,0,1550
"dimanche 15 mars 2009",541,0,0,0,0,0,0,0,1308
"lundi 16 mars 2009",525,0,0,0,0,0,0,0,1512
"mardi 17 mars 2009",871,0,0,0,0,0,0,0,1865
"mercredi 18 mars 2009",592,0,0,0,0,0,0,0,2521
"jeudi 19 mars 2009",455,0,0,0,0,0,0,0,2403
"vendredi 20 mars 2009",446,0,0,0,0,0,0,0,1561
"samedi 21 mars 2009",441,0,0,0,0,0,0,0,1615
"dimanche 22 mars 2009",266,0,0,0,0,0,0,0,1245
"lundi 23 mars 2009",189,0,0,0,0,0,0,0,1758
"mardi 24 mars 2009",343,0,0,0,0,0,0,0,2022
"mercredi 25 mars 2009",292,0,0,0,0,0,0,0,2266
"jeudi 26 mars 2009",355,0,0,0,0,0,0,0,1746
"vendredi 27 mars 2009",245,0,0,0,0,0,0,0,1752
"samedi 28 mars 2009",136,0,0,0,0,0,0,0,1801
"dimanche 29 mars 2009",0,0,0,0,0,0,0,0,1633
"lundi 30 mars 2009",0,0,0,0,0,0,0,0,1756
"mardi 31 mars 2009",0,0,0,0,0,0,0,0,1419
"mercredi 01 avr 2009",0,0,0,0,0,0,0,0,1562
"jeudi 02 avr 2009",,0,0,0,0,0,0,0,2029
"vendredi 03 avr 2009",0,0,0,0,0,0,0,0,1676
"samedi 04 avr 2009",0,0,0,0,0,0,0,0,1896
"dimanche 05 avr 2009",0,0,0,0,0,0,0,0,1330
"lundi 06 avr 2009",0,0,0,0,0,0,0,0,1246
"mardi 07 avr 2009",0,0,0,0,0,0,0,0,1544
"mercredi 08 avr 2009",0,0,0,0,0,0,0,0,1417
"jeudi 09 avr 2009",0,0,0,0,0,0,0,0,1905
"vendredi 10 avr 2009",0,0,0,0,0,0,0,0,1974
"samedi 11 avr 2009",0,0,0,0,0,0,0,0,1852
"dimanche 12 avr 2009",0,0,0,0,0,0,0,0,1417
"lundi 13 avr 2009",0,0,0,0,0,0,0,0,1370
"mardi 14 avr 2009",0,0,0,0,0,0,0,0,1932
"mercredi 15 avr 2009",0,0,0,0,0,0,0,0,1992
"jeudi 16 avr 2009",0,0,0,0,0,0,0,0,1818
"vendredi 17 avr 2009",1286,0,0,0,0,0,0,0,1667
"samedi 18 avr 2009",1178,0,0,0,0,0,0,0,1118
"dimanche 19 avr 2009",2131,0,0,0,0,0,0,0,1321
"lundi 20 avr 2009",2709,0,0,0,0,0,0,0,1617
"mardi 21 avr 2009",752,0,0,0,0,0,0,0,911
"mercredi 22 avr 2009",1886,0,0,0,0,0,0,0,1440
"jeudi 23 avr 2009",2069,0,0,0,0,0,0,0,1551
"vendredi 24 avr 2009",3132,0,0,0,0,0,0,0,1681
"samedi 25 avr 2009",3668,0,0,0,0,0,0,0,1571
"dimanche 26 avr 2009",1368,0,0,0,0,0,0,0,1224
"lundi 27 avr 2009",4051,0,0,0,0,0,0,0,2349
"mardi 28 avr 2009",2286,0,0,0,0,0,0,0,2386
"mercredi 29 avr 2009",3519,0,0,0,0,0,0,0,2465
"jeudi 30 avr 2009",3520,0,0,0,0,0,0,0,2537
"vendredi 01 mai 2009",1925,0,0,0,0,0,0,0,2500
"samedi 02 mai 2009",2125,0,0,0,0,0,0,0,1302
"dimanche 03 mai 2009",2662,0,0,0,0,0,0,0,1581
"lundi 04 mai 2009",4403,0,0,0,0,0,0,0,2546
"mardi 05 mai 2009",4338,0,0,0,0,0,0,0,2659
"mercredi 06 mai 2009",2757,0,0,0,0,0,0,0,1906
"jeudi 07 mai 2009",970,0,0,0,0,0,0,0,1418
"vendredi 08 mai 2009",2767,0,0,0,0,0,0,0,1706
"samedi 09 mai 2009",1493,0,0,0,0,0,0,0,1366
"dimanche 10 mai 2009",728,0,0,0,0,0,0,0,904
"lundi 11 mai 2009",3982,0,0,0,0,0,0,0,2542
"mardi 12 mai 2009",4742,0,0,0,0,0,0,0,2808
"mercredi 13 mai 2009",5278,0,0,0,0,0,0,0,2610
"jeudi 14 mai 2009",2344,0,0,0,0,0,0,0,1661
"vendredi 15 mai 2009",4094,0,0,0,0,0,0,0,2410
"samedi 16 mai 2009",784,0,0,0,0,0,0,0,1175
"dimanche 17 mai 2009",1048,0,0,0,0,0,0,0,1136
"lundi 18 mai 2009",2442,0,0,0,0,0,0,0,1395
"mardi 19 mai 2009",3686,0,0,0,0,0,0,0,2166
"mercredi 20 mai 2009",3042,0,0,0,0,0,0,0,1873
"jeudi 21 mai 2009",5728,0,0,0,0,0,0,0,2614
"vendredi 22 mai 2009",3815,0,0,0,0,0,0,0,2218
"samedi 23 mai 2009",3540,0,0,0,0,0,0,0,1734
"dimanche 24 mai 2009",4775,0,0,0,0,0,0,0,1745
"lundi 25 mai 2009",4434,0,0,0,0,0,0,0,2280
"mardi 26 mai 2009",4363,0,0,0,0,0,0,0,2347
"mercredi 27 mai 2009",2075,0,0,0,0,0,0,0,1181
"jeudi 28 mai 2009",2338,0,0,0,0,0,0,0,1367
"vendredi 29 mai 2009",1387,0,0,0,0,0,0,0,1330
"samedi 30 mai 2009",2063,0,0,0,0,0,0,0,1475
"dimanche 31 mai 2009",2031,0,0,0,0,0,0,0,1213
"lundi 01 juin 2009",3274,0,0,0,0,0,0,0,1971
"mardi 02 juin 2009",4325,0,0,0,0,0,0,0,2261
"mercredi 03 juin 2009",5430,0,0,0,0,0,0,0,2600
"jeudi 04 juin 2009",5278,0,0,0,0,0,0,0,2726
"vendredi 05 juin 2009",6028,0,0,0,0,0,0,0,2626
"samedi 06 juin 2009",3876,0,0,0,0,0,0,0,1691
"dimanche 07 juin 2009",2742,0,0,0,0,0,0,0,2534
"lundi 08 juin 2009",4973,0,0,2107,3742,0,0,0,2368
"mardi 09 juin 2009",1125,0,0,678,1312,0,0,0,945
"mercredi 10 juin 2009",3460,0,0,2354,3978,0,0,0,2046
"jeudi 11 juin 2009",4449,0,0,2648,4802,0,0,0,2398
"vendredi 12 juin 2009",3576,0,0,2100,3717,0,0,0,2095
"samedi 13 juin 2009",4027,0,0,1830,3357,0,0,0,1885
"dimanche 14 juin 2009",4313,0,0,1706,3120,0,0,0,1644
"lundi 15 juin 2009",3182,0,0,1922,3538,0,0,0,1757
"mardi 16 juin 2009",5668,0,0,3499,5609,0,0,0,2507
"mercredi 17 juin 2009",6320,0,0,3388,6047,0,0,0,2760
"jeudi 18 juin 2009",2397,0,0,1324,2531,0,0,0,1562
"vendredi 19 juin 2009",2857,0,0,1798,3309,0,0,0,1703
"samedi 20 juin 2009",2590,0,0,1505,2774,0,0,0,1389
"dimanche 21 juin 2009",3234,0,0,1332,2531,0,0,0,1483
"lundi 22 juin 2009",5138,0,0,2742,5032,0,0,0,2322
"mardi 23 juin 2009",5799,0,0,3114,5386,0,0,0,2673
"mercredi 24 juin 2009",4911,0,0,1615,3114,0,0,0,1724
"jeudi 25 juin 2009",4333,0,0,2449,4541,0,0,0,2122
"vendredi 26 juin 2009",3680,0,0,2156,3984,0,0,0,1961
"samedi 27 juin 2009",1536,0,0,847,1655,0,0,0,1060
"dimanche 28 juin 2009",3064,0,0,1437,2689,0,0,0,1351
"lundi 29 juin 2009",1004,0,0,596,1360,0,0,0,845
"mardi 30 juin 2009",4709,0,0,2945,4472,0,0,0,2556
"mercredi 01 juil 2009",4471,0,0,2239,3051,0,0,0,1879
"jeudi 02 juil 2009",4432,0,0,2611,4525,0,0,0,2759
"vendredi 03 juil 2009",2997,0,0,1876,3069,0,0,0,2149
"samedi 04 juil 2009",2544,0,0,1653,2325,0,0,0,1609
"dimanche 05 juil 2009",5121,0,0,3064,3310,0,0,0,2148
"lundi 06 juil 2009",3862,0,0,0,4249,0,0,0,2493
"mardi 07 juil 2009",3036,2156,0,0,3518,0,0,0,2111
"mercredi 08 juil 2009",3744,4539,0,0,3886,0,0,0,2348
"jeudi 09 juil 2009",6626,7575,0,0,5751,0,0,0,3146
"vendredi 10 juil 2009",6274,7268,0,0,5435,0,0,0,2999
"samedi 11 juil 2009",1876,2320,0,0,1944,0,0,0,1247
"dimanche 12 juil 2009",4393,5071,0,0,3148,0,0,0,1899
"lundi 13 juil 2009",3471,4236,0,0,3909,0,0,0,2148
"mardi 14 juil 2009",3537,3755,0,0,4019,0,0,0,2089
"mercredi 15 juil 2009",6100,6933,0,0,5536,0,0,0,2785
"jeudi 16 juil 2009",3489,4278,0,0,3774,0,0,0,2236
"vendredi 17 juil 2009",4859,5987,0,0,4323,0,0,0,2385
"samedi 18 juil 2009",2991,3582,0,0,2804,0,0,0,1545
"dimanche 19 juil 2009",3588,4132,0,0,2711,0,0,0,1523
"lundi 20 juil 2009",5607,7064,0,0,5092,0,0,0,2584
"mardi 21 juil 2009",5754,6996,0,0,5357,0,0,0,2654
"mercredi 22 juil 2009",3440,4331,0,0,3954,0,0,0,2123
"jeudi 23 juil 2009",5124,6134,0,0,4836,0,0,0,2643
"vendredi 24 juil 2009",4054,4639,0,0,3828,0,0,0,2202
"samedi 25 juil 2009",4372,4635,0,0,3059,0,0,0,1904
"dimanche 26 juil 2009",1801,2144,0,0,1703,0,0,0,1173
"lundi 27 juil 2009",4088,5024,0,0,4307,0,0,0,2173
"mardi 28 juil 2009",5891,7219,0,0,5437,0,0,0,2757
"mercredi 29 juil 2009",3754,5033,0,1637,4211,0,0,0,2224
"jeudi 30 juil 2009",5267,7191,0,2527,5183,0,0,0,2765
"vendredi 31 juil 2009",3146,5237,0,2265,4023,0,0,0,2371
"samedi 01 août 2009",63,5869,0,1053,3351,0,0,0,2040
"dimanche 02 août 2009",77,1753,0,291,1293,0,0,0,960
"lundi 03 août 2009",5904,7183,0,3102,4853,0,0,0,2920
"mardi 04 août 2009",4417,5384,0,2382,4350,0,0,0,2489
"mercredi 05 août 2009",5611,7103,0,2646,5201,0,0,0,2822
"jeudi 06 août 2009",4197,5259,0,2302,4298,0,0,0,2655
"vendredi 07 août 2009",4265,5371,0,2300,4303,0,0,0,2512
"samedi 08 août 2009",4589,5514,0,2083,3200,0,0,0,1924
"dimanche 09 août 2009",2775,3524,0,1509,2393,0,0,0,1366
"lundi 10 août 2009",2999,4183,0,1545,3185,0,0,0,1837
"mardi 11 août 2009",3504,4359,0,1735,3703,0,0,0,2098
"mercredi 12 août 2009",5538,7127,0,2368,5107,0,0,0,2830
"jeudi 13 août 2009",5386,6971,0,2364,5056,0,0,0,2807
"vendredi 14 août 2009",4859,6155,0,2125,4663,0,0,0,2570
"samedi 15 août 2009",3916,5078,0,1573,3027,0,0,0,1695
"dimanche 16 août 2009",3307,4416,0,1313,2843,0,0,0,1356
"lundi 17 août 2009",4403,5668,0,1773,4422,0,0,0,2146
"mardi 18 août 2009",4382,5641,0,2121,4629,0,0,0,2268
"mercredi 19 août 2009",5327,6901,0,2362,5231,0,0,0,2692
"jeudi 20 août 2009",3796,4884,0,1790,3887,0,0,0,2402
"vendredi 21 août 2009",2832,3752,0,1434,3166,0,0,0,2125
"samedi 22 août 2009",3492,4787,0,1448,3110,0,0,0,1760
"dimanche 23 août 2009",2888,4015,0,1111,2647,0,0,0,1352
"lundi 24 août 2009",4120,5526,0,1966,4573,0,0,0,2293
"mardi 25 août 2009",5450,7034,0,2671,5698,0,0,0,2681
"mercredi 26 août 2009",4722,6238,0,2416,5112,0,0,0,2515
"jeudi 27 août 2009",4707,6239,0,2338,5171,0,0,0,2762
"vendredi 28 août 2009",4439,5651,0,2283,4683,0,0,0,2577
"samedi 29 août 2009",1004,1445,0,590,1231,0,0,0,1194
"dimanche 30 août 2009",2277,3044,0,1037,2157,0,0,0,1378
"lundi 31 août 2009",4572,5927,0,2439,4967,0,0,0,2431
"mardi 01 sept 2009",5298,6936,0,2796,5765,0,0,0,2823
"mercredi 02 sept 2009",5451,7048,0,2701,5517,0,0,0,2902
"jeudi 03 sept 2009",5372,6864,0,2717,5762,0,0,0,2887
"vendredi 04 sept 2009",4566,5833,0,2393,5327,0,0,0,2735
"samedi 05 sept 2009",3533,4156,0,1466,3059,0,0,0,1655
"dimanche 06 sept 2009",3888,4030,0,1383,2794,0,0,0,1532
"lundi 07 sept 2009",3683,4800,0,1642,2628,0,0,0,1492
"mardi 08 sept 2009",5452,6745,0,2865,6379,0,0,0,2908
"mercredi 09 sept 2009",5575,6681,0,2727,6535,0,0,0,2965
"jeudi 10 sept 2009",5496,6514,0,2921,6587,0,0,0,2699
"vendredi 11 sept 2009",4864,6044,0,2640,5895,0,0,0,2883
"samedi 12 sept 2009",3985,5205,0,1759,3873,0,0,0,2112
"dimanche 13 sept 2009",2695,3925,0,1194,2777,0,0,0,1834
"lundi 14 sept 2009",4196,4236,0,2097,5053,0,0,0,2391
"mardi 15 sept 2009",5169,4375,0,2513,5958,0,0,0,2743
"mercredi 16 sept 2009",4891,4252,0,2589,6146,0,0,0,2952
"jeudi 17 sept 2009",4915,3983,0,2647,6149,0,0,0,2801
"vendredi 18 sept 2009",2435,2154,0,1553,3772,0,0,0,2342
"samedi 19 sept 2009",2674,2513,0,1361,2677,0,0,0,1785
"dimanche 20 sept 2009",2855,2588,0,1219,2782,0,0,0,1653
"lundi 21 sept 2009",4787,3590,0,243,5856,0,0,0,2616
"mardi 22 sept 2009",2620,1918,0,107,3602,0,0,0,1856
"mercredi 23 sept 2009",2878,2030,0,130,4030,0,0,0,2017
"jeudi 24 sept 2009",4820,3158,0,174,5942,0,0,0,2847
"vendredi 25 sept 2009",3774,2699,0,61,5018,0,0,0,2715
"samedi 26 sept 2009",2603,2547,0,0,2873,0,0,0,1859
"dimanche 27 sept 2009",725,652,0,0,1035,0,0,0,859
"lundi 28 sept 2009",1941,1406,0,90,2812,0,0,0,1705
"mardi 29 sept 2009",2272,1330,0,11,2878,0,0,0,2004
"mercredi 30 sept 2009",3003,1785,0,22,3884,0,0,0,2324
"jeudi 01 oct 2009",2643,1579,0,22,3528,0,0,0,2358
"vendredi 02 oct 2009",2865,1898,0,36,3735,0,0,0,2682
"samedi 03 oct 2009",993,700,0,7,1362,0,0,0,1661
"dimanche 04 oct 2009",1336,1116,0,0,1620,0,0,0,1566
"lundi 05 oct 2009",2935,1761,0,308,3801,0,0,0,2254
"mardi 06 oct 2009",3852,2205,0,7,4610,0,0,0,2473
"mercredi 07 oct 2009",2115,1100,0,3,2825,0,0,0,2072
"jeudi 08 oct 2009",3336,1965,0,9,4146,0,0,0,2420
"vendredi 09 oct 2009",1302,658,0,482,1686,0,0,0,1718
"samedi 10 oct 2009",1407,994,0,725,1443,0,0,0,1612
"dimanche 11 oct 2009",1090,812,0,546,1271,0,0,0,1288
"lundi 12 oct 2009",1171,923,0,573,1127,0,0,0,1191
"mardi 13 oct 2009",1671,869,0,911,2211,0,0,0,1646
"mercredi 14 oct 2009",2456,1363,0,1358,3232,0,0,0,2150
"jeudi 15 oct 2009",2383,1305,0,1304,3282,0,0,0,2264
"vendredi 16 oct 2009",2131,1237,0,1254,2885,0,0,0,2263
"samedi 17 oct 2009",1130,906,0,727,1676,0,0,0,1553
"dimanche 18 oct 2009",1241,983,0,625,1497,0,0,0,1415
"lundi 19 oct 2009",2570,1472,0,1377,3449,0,0,0,2042
"mardi 20 oct 2009",2605,1366,0,1403,3517,0,0,0,2144
"mercredi 21 oct 2009",2904,1436,0,1478,3582,0,0,0,2260
"jeudi 22 oct 2009",1322,631,0,665,1866,0,0,0,1703
"vendredi 23 oct 2009",1792,912,0,1040,2575,0,0,0,1776
"samedi 24 oct 2009",542,276,0,277,737,0,0,0,1166
"dimanche 25 oct 2009",1129,801,0,617,1366,0,0,0,1267
"lundi 26 oct 2009",2119,1169,0,1171,3186,0,0,0,1860
"mardi 27 oct 2009",2072,1101,0,1147,3167,0,0,0,1750
"mercredi 28 oct 2009",1996,1066,0,1101,2944,0,0,0,1883
"jeudi 29 oct 2009",2130,1215,0,1185,3142,0,0,0,2025
"vendredi 30 oct 2009",1835,955,0,979,2470,0,0,0,2132
"samedi 31 oct 2009",473,288,0,278,661,0,0,0,1429
"dimanche 01 nov 2009",1144,843,0,546,1273,0,0,0,1432
"lundi 02 nov 2009",2293,1191,0,1158,3006,0,0,0,1933
"mardi 03 nov 2009",1655,794,0,910,2246,0,0,0,1755
"mercredi 04 nov 2009",1974,1040,0,1113,2693,0,0,0,1861
"jeudi 05 nov 2009",1767,904,0,990,2469,0,0,0,1712
"vendredi 06 nov 2009",1735,854,0,1001,2317,0,0,0,1781
"samedi 07 nov 2009",872,550,0,475,1118,0,0,0,1403
"dimanche 08 nov 2009",1541,1060,0,689,1545,0,0,0,1347
"lundi 09 nov 2009",2540,1315,0,1267,3191,0,0,0,2052
"mardi 10 nov 2009",2526,1297,0,1270,3430,0,0,0,2071
"mercredi 11 nov 2009",2366,1172,0,1145,2952,0,0,0,1982
"jeudi 12 nov 2009",2224,1098,0,1137,2929,0,0,0,1906
"vendredi 13 nov 2009",2007,996,0,1115,2569,0,0,0,2021
"samedi 14 nov 2009",493,310,0,269,635,0,0,0,1472
"dimanche 15 nov 2009",852,393,0,425,964,0,0,0,1121
"lundi 16 nov 2009",1881,0,0,1003,2567,0,0,0,1875
"mardi 17 nov 2009",2052,0,0,1006,2728,0,0,0,1918
"mercredi 18 nov 2009",1921,0,0,1046,2642,0,0,0,1936
"jeudi 19 nov 2009",1935,0,0,1045,2619,0,0,0,1853
"vendredi 20 nov 2009",1065,0,0,596,1493,0,0,0,1670
"samedi 21 nov 2009",1173,0,0,614,1315,0,0,0,1524
"dimanche 22 nov 2009",743,0,0,396,1021,0,0,0,1063
"lundi 23 nov 2009",1579,0,0,864,2352,0,0,0,1545
"mardi 24 nov 2009",1886,0,0,1027,2574,0,0,0,1689
"mercredi 25 nov 2009",1574,0,0,833,2183,0,0,0,1730
"jeudi 26 nov 2009",1726,0,0,916,2397,0,0,0,2136
"vendredi 27 nov 2009",1027,0,0,525,1428,0,0,0,1817
"samedi 28 nov 2009",810,0,0,419,938,0,0,0,1268
"dimanche 29 nov 2009",671,0,0,315,754,0,0,0,964
"lundi 30 nov 2009",747,0,0,412,1175,0,0,0,1088
"mardi 01 déc 2009",1092,0,0,599,1473,0,0,0,1398
"mercredi 02 déc 2009",1377,0,0,711,1867,0,0,0,1588
"jeudi 03 déc 2009",606,0,0,367,921,0,0,0,1342
"vendredi 04 déc 2009",1108,0,0,595,1472,0,0,0,1634
"samedi 05 déc 2009",594,0,0,301,746,0,0,0,1135
"dimanche 06 déc 2009",501,0,0,276,679,0,0,0,891
"lundi 07 déc 2009",669,0,0,358,1039,0,0,0,1254
"mardi 08 déc 2009",570,0,0,318,807,0,0,0,1009
"mercredi 09 déc 2009",185,0,0,64,274,0,0,0,1991
"jeudi 10 déc 2009",219,0,0,110,363,0,0,0,679
"vendredi 11 déc 2009",194,0,0,77,378,0,0,0,1561
"samedi 12 déc 2009",106,0,0,84,210,0,0,0,915
"dimanche 13 déc 2009",130,0,0,49,113,0,0,0,1322
"lundi 14 déc 2009",271,0,0,123,433,0,0,0,707
"mardi 15 déc 2009",308,0,0,143,395,0,0,0,775
"mercredi 16 déc 2009",296,0,0,155,350,0,0,0,680
"jeudi 17 déc 2009",239,0,0,118,304,0,0,0,278
"vendredi 18 déc 2009",214,0,0,119,373,0,0,0,281
"samedi 19 déc 2009",133,0,0,73,162,0,0,0,286
"dimanche 20 déc 2009",135,0,0,62,125,0,0,0,204
"lundi 21 déc 2009",239,0,0,125,383,0,0,0,231
"mardi 22 déc 2009",207,0,0,107,353,0,0,0,569
"mercredi 23 déc 2009",158,0,0,84,204,0,0,0,218
"jeudi 24 déc 2009",74,0,0,59,129,0,0,0,118
"vendredi 25 déc 2009",34,0,0,21,36,0,0,0,54
"samedi 26 déc 2009",40,0,0,21,59,0,0,0,106
"dimanche 27 déc 2009",66,0,0,29,52,0,0,0,124
"lundi 28 déc 2009",61,0,0,41,99,0,0,0,201
"mardi 29 déc 2009",89,0,0,52,115,0,0,0,136
"mercredi 30 déc 2009",76,0,0,43,115,0,0,0,162
"jeudi 31 déc 2009",53,0,0,46,112,0,0,0,249
