"Date","Berri","Brébeuf","Côte-Sainte-Catherine","Maisonneuve 1","Maisonneuve 2","du Parc","Pierre-Dupuy","Rachel","Saint-Urbain"
"jeudi 01 janv 2009",29,0,0,0,0,0,0,0,98
"vendredi 02 janv 2009",19,0,0,0,0,0,0,0,220
"samedi 03 janv 2009",24,0,0,0,0,0,0,0,170
"dimanche 04 janv 2009",24,0,0,0,0,0,0,0,114
"lundi 05 janv 2009",120,0,0,0,0,0,0,0,216
"mardi 06 janv 2009",261,0,0,0,0,0,0,0,219
"mercredi 07 janv 2009",60,0,0,0,0,0,0,0,191
"jeudi 08 janv 2009",24,0,0,0,0,0,0,0,65
"vendredi 09 janv 2009",35,0,0,0,0,0,0,0,170
"samedi 10 janv 2009",81,0,0,0,0,0,0,0,555
"dimanche 11 janv 2009",318,0,0,0,0,0,0,0,612
"lundi 12 janv 2009",105,0,0,0,0,0,0,0,837
"mardi 13 janv 2009",168,0,0,0,0,0,0,0,421
"mercredi 14 janv 2009",145,0,0,0,0,0,0,0,824
"jeudi 15 janv 2009",131,0,0,0,0,0,0,0,312
"vendredi 16 janv 2009",93,0,0,0,0,0,0,0,380
"samedi 17 janv 2009",25,0,0,0,0,0,0,0,630
"dimanche 18 janv 2009",52,0,0,0,0,0,0,0,563
"lundi 19 janv 2009",136,0,0,0,0,0,0,0,267
"mardi 20 janv 2009",147,0,0,0,0,0,0,0,301
"mercredi 21 janv 2009",109,0,0,0,0,0,0,0,243
"jeudi 22 janv 2009",172,0,0,0,0,0,0,0,389
"vendredi 23 janv 2009",148,0,0,0,0,0,0,0,346
"samedi 24 janv 2009",15,0,0,0,0,0,0,0,633
"dimanche 25 janv 2009",35,0,0,0,0,0,0,0,276
"lundi 26 janv 2009",93,0,0,0,0,0,0,0,240
"mardi 27 janv 2009",209,0,0,0,0,0,0,0,419
"mercredi 28 janv 2009",92,0,0,0,0,0,0,0,469
"jeudi 29 janv 2009",110,0,0,0,0,0,0,0,64
"vendredi 30 janv 2009",105,0,0,0,0,0,0,0,312
"samedi 31 janv 2009",25,0,0,0,0,0,0,0,579
"dimanche 01 févr 2009",14,0,0,0,0,0,0,0,775
"lundi 02 févr 2009",158,0,0,0,0,0,0,0,759
"mardi 03 févr 2009",179,0,0,0,0,0,0,0,927
"mercredi 04 févr 2009",122,0,0,0,0,0,0,0,534
"jeudi 05 févr 2009",95,0,0,0,0,0,0,0,487
"vendredi 06 févr 2009",185,0,0,0,0,0,0,0,737
"samedi 07 févr 2009",95,0,0,0,0,0,0,0,843
"dimanche 08 févr 2009",82,0,0,0,0,0,0,0,621
"lundi 09 févr 2009",190,0,0,0,0,0,0,0,552
"mardi 10 févr 2009",228,0,0,0,0,0,0,0,604
"mercredi 11 févr 2009",306,0,0,0,0,0,0,0,774
"jeudi 12 févr 2009",188,0,0,0,0,0,0,0,972
"vendredi 13 févr 2009",209,0,0,0,0,0,0,0,638
"samedi 14 févr 2009",98,0,0,0,0,0,0,0,714
